2022-03-15 16:47:50.119 | INFO     | __main__:<module>:662 - 


2022-03-15 16:47:50.121 | INFO     | __main__:<module>:663 - Namespace(agent_S='resnet34', agent_T='resnet50', batch_size=8, data_root='D:/Dataset/mvtec_3d_anomaly_detection', data_trans='imagenet', dual_type='small', epochs=100, fea_norm=True, fusion_scale='2-3-4', fusion_type=0, gpu_id='0', latent_dim=200, loss_type='l2norm+l2', lr2=0.0003, lr3=0.0003, lr4=0.0003, pe_required=False, post_smooth=0, resize=256, seed=888, train=True, weight_decay=1e-05)
2022-03-15 16:47:50.122 | INFO     | __main__:<module>:664 - save_root: ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/
2022-03-15 16:47:50.848 | INFO     | __main__:__init__:253 - resnet34-resnet50-[64, 128, 256]-[256, 512, 1024]-[200, 400, 800]
2022-03-15 16:47:50.900 | INFO     | __main__:register:282 - Projector2: 64, 64, in_dim=64, out_dim=256, latent_dim=200, dual_type=small, pe_required=False
2022-03-15 16:47:52.473 | INFO     | __main__:__init__:133 - small model is Used!
2022-03-15 16:47:52.484 | INFO     | __main__:register:287 - Projector2: 32, 32, in_dim=128, out_dim=512, latent_dim=400, dual_type=small, pe_required=False
2022-03-15 16:47:52.486 | INFO     | __main__:__init__:133 - small model is Used!
2022-03-15 16:47:52.509 | INFO     | __main__:register:291 - Projector2: 16, 16, in_dim=256, out_dim=1024, latent_dim=800, dual_type=small, pe_required=False
2022-03-15 16:47:52.510 | INFO     | __main__:__init__:133 - small model is Used!
2022-03-15 16:48:14.136 | INFO     | __main__:load_project_model:582 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/bagel_2.pth
2022-03-15 16:48:14.154 | INFO     | __main__:load_project_model:584 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/bagel_3.pth
2022-03-15 16:48:14.180 | INFO     | __main__:load_project_model:586 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/bagel_4.pth
2022-03-15 16:48:30.251 | INFO     | __main__:train:374 - Epoch-0, bagel | all: 0.61054, 0.95613 | 2: 0.66322, 0.93452| 3: 0.37138, 0.93069 | 4: 0.42304, 0.76892
2022-03-15 16:54:14.483 | INFO     | __main__:load_project_model:582 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/bagel_2.pth
2022-03-15 16:54:14.501 | INFO     | __main__:load_project_model:584 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/bagel_3.pth
2022-03-15 16:54:14.528 | INFO     | __main__:load_project_model:586 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/bagel_4.pth
2022-03-15 16:54:30.248 | INFO     | __main__:train:374 - Epoch-20, bagel | all: 0.96178, 0.99455 | 2: 0.84556, 0.98026| 3: 0.90393, 0.98631 | 4: 0.95145, 0.98694
2022-03-15 17:00:17.251 | INFO     | __main__:load_project_model:582 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/bagel_2.pth
